2013-01-11T18:29:59.847+0900: 268.343: [GC 268.343: [ParNew: 332712K->3525K(368640K), 0.0020360 secs] 332957K->3770K(1187840K), 0.0020930 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2013-01-11T18:30:00.083+0900: 268.579: [GC 268.579: [ParNew: 327296K->5349K(368640K), 0.0022200 secs] 327541K->5593K(1187840K), 0.0022750 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2013-01-11T18:30:05.296+0900: 273.792: [GC 273.792: [ParNew: 330510K->3075K(368640K), 0.0012150 secs] 330755K->3320K(1187840K), 0.0012820 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2013-01-11T18:30:05.520+0900: 274.016: [GC 274.016: [ParNew: 328946K->5076K(368640K), 0.0021480 secs] 329191K->5320K(1187840K), 0.0022070 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2013-01-11T18:30:10.748+0900: 279.244: [GC 279.244: [ParNew: 331546K->2577K(368640K), 0.0014790 secs] 331791K->2822K(1187840K), 0.0015480 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2013-01-11T18:30:10.960+0900: 279.456: [GC 279.456: [ParNew: 326438K->4774K(368640K), 0.0020050 secs] 326682K->5018K(1187840K), 0.0020530 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2013-01-11T18:30:16.202+0900: 284.698: [GC 284.698: [ParNew: 330914K->1928K(368640K), 0.0009570 secs] 331159K->2172K(1187840K), 0.0010050 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2013-01-11T18:30:16.403+0900: 284.899: [GC 284.899: [ParNew: 329143K->4474K(368640K), 0.0020110 secs] 329388K->4719K(1187840K), 0.0020620 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2013-01-11T18:30:21.659+0900: 290.155: [GC 290.155: [ParNew: 331445K->951K(368640K), 0.0008840 secs] 331690K->1196K(1187840K), 0.0011840 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2013-01-11T18:30:21.851+0900: 290.347: [GC 290.347: [ParNew: 327920K->4149K(368640K), 0.0018110 secs] 328165K->4394K(1187840K), 0.0018770 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2013-01-11T18:30:22.099+0900: 290.595: [GC 290.595: [ParNew: 327460K->5775K(368640K), 0.0023610 secs] 327704K->6020K(1187840K), 0.0024160 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2013-01-11T18:30:27.294+0900: 295.790: [GC 295.790: [ParNew: 330347K->3750K(368640K), 0.0018210 secs] 330592K->3995K(1187840K), 0.0018720 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2013-01-11T18:30:27.533+0900: 296.028: [GC 296.028: [ParNew: 326973K->5498K(368640K), 0.0022440 secs] 327217K->5743K(1187840K), 0.0022800 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2013-01-11T18:30:32.739+0900: 301.235: [GC 301.235: [ParNew: 333178K->3325K(368640K), 0.0014910 secs] 333423K->3570K(1187840K), 0.0018770 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2013-01-11T18:30:32.968+0900: 301.464: [GC 301.464: [ParNew: 328317K->5224K(368640K), 0.0022230 secs] 328562K->5468K(1187840K), 0.0022630 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2013-01-11T18:30:38.186+0900: 306.682: [GC 306.682: [ParNew: 330436K->2850K(368640K), 0.0012420 secs] 330681K->3095K(1187840K), 0.0012870 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2013-01-11T18:30:38.401+0900: 306.897: [GC 306.897: [ParNew: 325771K->4926K(368640K), 0.0020770 secs] 326016K->5171K(1187840K), 0.0021340 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2013-01-11T18:30:43.636+0900: 312.132: [GC 312.133: [ParNew: 330868K->2275K(368640K), 0.0013180 secs] 331113K->2520K(1187840K), 0.0017750 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2013-01-11T18:30:43.842+0900: 312.338: [GC 312.338: [ParNew: 327136K->4624K(368640K), 0.0019810 secs] 327381K->4869K(1187840K), 0.0020200 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2013-01-11T18:30:44.098+0900: 312.594: [GC 312.594: [ParNew: 328371K->6125K(368640K), 0.0024390 secs] 328616K->6370K(1187840K), 0.0024820 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2013-01-11T18:30:49.340+0900: 317.836: [GC 317.836: [ParNew: 333805K->2425K(368640K), 0.0014050 secs] 334050K->2670K(1187840K), 0.0014430 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2013-01-11T18:30:49.548+0900: 318.044: [GC 318.044: [ParNew: 327272K->4699K(368640K), 0.0019670 secs] 327517K->4944K(1187840K), 0.0020220 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2013-01-11T18:30:49.805+0900: 318.301: [GC 318.301: [ParNew: 326887K->6173K(368640K), 0.0030040 secs] 327132K->6418K(1187840K), 0.0030660 secs] [Times: user=0.01 sys=0.01, real=0.00 secs] 
2013-01-11T18:30:55.045+0900: 323.540: [GC 323.541: [ParNew: 333200K->2550K(368640K), 0.0014420 secs] 333445K->2795K(1187840K), 0.0014820 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2013-01-11T18:30:55.256+0900: 323.751: [GC 323.752: [ParNew: 328930K->4774K(368640K), 0.0020090 secs] 329175K->5019K(1187840K), 0.0020660 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2013-01-11T18:30:55.517+0900: 324.013: [GC 324.013: [ParNew: 331332K->6248K(368640K), 0.0029530 secs] 331578K->6493K(1187840K), 0.0030160 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2013-01-11T18:31:00.751+0900: 329.247: [GC 329.247: [ParNew: 332832K->2725K(368640K), 0.0011780 secs] 333077K->2970K(1187840K), 0.0016240 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2013-01-11T18:31:00.967+0900: 329.463: [GC 329.463: [ParNew: 329808K->4876K(368640K), 0.0021070 secs] 330053K->5121K(1187840K), 0.0021430 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2013-01-11T18:31:01.230+0900: 329.726: [GC 329.726: [ParNew: 331060K->6323K(368640K), 0.0025500 secs] 331305K->6568K(1187840K), 0.0026130 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2013-01-11T18:31:06.457+0900: 334.953: [GC 334.953: [ParNew: 333482K->2902K(368640K), 0.0011530 secs] 333727K->3147K(1187840K), 0.0012150 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2013-01-11T18:31:06.677+0900: 335.173: [GC 335.173: [ParNew: 329805K->4976K(368640K), 0.0020730 secs] 330050K->5221K(1187840K), 0.0021270 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2013-01-11T18:31:06.941+0900: 335.437: [GC 335.437: [ParNew: 330609K->6398K(368640K), 0.0027100 secs] 330854K->6643K(1187840K), 0.0027690 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2013-01-11T18:31:12.163+0900: 340.659: [GC 340.659: [ParNew: 332132K->3050K(368640K), 0.0013230 secs] 332377K->3295K(1187840K), 0.0013790 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2013-01-11T18:31:12.385+0900: 340.881: [GC 340.881: [ParNew: 327091K->5049K(368640K), 0.0020620 secs] 327337K->5294K(1187840K), 0.0020890 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2013-01-11T18:31:12.649+0900: 341.145: [GC 341.145: [ParNew: 328563K->6448K(368640K), 0.0026240 secs] 328808K->6693K(1187840K), 0.0026460 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2013-01-11T18:31:17.907+0900: 346.403: [GC 346.403: [ParNew: 331610K->3150K(368640K), 0.0013560 secs] 331855K->3395K(1187840K), 0.0014010 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2013-01-11T18:31:18.144+0900: 346.640: [GC 346.640: [ParNew: 329846K->5124K(368640K), 0.0022260 secs] 330091K->5369K(1187840K), 0.0022800 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2013-01-11T18:31:18.412+0900: 346.908: [GC 346.908: [ParNew: 332783K->6521K(368640K), 0.0026940 secs] 333028K->6766K(1187840K), 0.0027180 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2013-01-11T18:31:23.632+0900: 352.128: [GC 352.128: [ParNew: 334201K->3300K(368640K), 0.0013040 secs] 334446K->3545K(1187840K), 0.0013360 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2013-01-11T18:31:23.859+0900: 352.355: [GC 352.355: [ParNew: 326418K->5199K(368640K), 0.0023340 secs] 326663K->5444K(1187840K), 0.0023820 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2013-01-11T18:31:24.128+0900: 352.624: [GC 352.624: [ParNew: 330769K->6571K(368640K), 0.0029110 secs] 331014K->6816K(1187840K), 0.0029610 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2013-01-11T18:31:29.337+0900: 357.833: [GC 357.833: [ParNew: 331805K->3375K(368640K), 0.0014580 secs] 332050K->3620K(1187840K), 0.0015100 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2013-01-11T18:31:29.567+0900: 358.063: [GC 358.063: [ParNew: 326920K->5247K(368640K), 0.0020840 secs] 327166K->5492K(1187840K), 0.0021220 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2013-01-11T18:31:29.832+0900: 358.328: [GC 358.328: [ParNew: 327023K->6598K(368640K), 0.0026780 secs] 327268K->6843K(1187840K), 0.0027370 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
